Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
18529,998.4,46.8,0
18550,1021.8,23.4,0
18570,998.4,23.4,-39
18590,1045.2,7.8,0
18611,1014,23.4,0
18631,1021.8,23.4,0
18651,998.4,46.8,0
18678,998.4,54.6,-54.6
18709,998.4,46.8,-39
18733,1053,0,0
18753,1021.8,15.6,0
18772,998.4,31.2,0
18793,998.4,23.4,-78
18813,1014,15.6,0
18835,998.4,23.4,-70.2
18854,1014,62.4,0
18876,1006.2,62.4,-62.4
18896,1014,31.2,-39
18918,1021.8,46.8,0
18937,1014,23.4,-54.6
18959,998.4,46.8,-70.2
18979,1006.2,46.8,-70.2
19036,990.6,23.4,0
19056,1014,7.8,-78
19078,1006.2,23.4,-39
19097,1006.2,39,-46.8
19125,1029.6,31.2,0
19146,1021.8,0,-109.2
19166,1006.2,54.6,-70.2
19187,1021.8,31.2,0
19208,1006.2,54.6,0
19228,1029.6,31.2,0
19249,1014,7.8,0
19270,1021.8,15.6,0
19290,1021.8,0,-62.4
19311,1021.8,15.6,0
19331,1021.8,31.2,0
19352,1021.8,39,-39
19373,1021.8,31.2,0
19393,1014,31.2,0
19414,998.4,31.2,0
19435,1021.8,15.6,-62.4
19455,998.4,54.6,-54.6
19476,1006.2,23.4,0
19497,1029.6,23.4,0
19524,1021.8,31.2,0
19544,1021.8,7.8,0
19566,1006.2,46.8,0
19585,1014,0,-78
19607,1021.8,0,-62.4
19626,998.4,46.8,-70.2
19648,1021.8,46.8,0
19668,1021.8,54.6,0
19689,998.4,46.8,0
19709,1006.2,31.2,0
19731,990.6,23.4,-62.4
19750,1014,39,0
19772,998.4,54.6,-70.2
19792,1021.8,15.6,0
19813,998.4,54.6,-39
19833,1014,23.4,0
19855,998.4,7.8,-70.2
19875,998.4,23.4,-70.2
19897,1014,7.8,0
19916,1014,54.6,-62.4
19944,1037.4,15.6,0
19965,1021.8,0,0
19985,990.6,15.6,0
20006,1006.2,39,0
20026,1045.2,0,0
20047,998.4,31.2,0
20067,1021.8,39,0
20088,1021.8,46.8,0
20108,1014,15.6,-62.4
20130,1006.2,31.2,0
20150,1014,0,0
20171,1014,0,-62.4
20191,1021.8,0,0
20212,1006.2,46.8,0
20232,998.4,46.8,0
20253,998.4,23.4,-54.6
20273,998.4,46.8,-70.2
20294,998.4,15.6,0
20315,1021.8,15.6,0
20336,1014,23.4,0
20362,1045.2,0,0
20384,990.6,0,0
20403,1006.2,23.4,0
20424,998.4,46.8,-70.2
20444,1006.2,46.8,-46.8
20466,998.4,54.6,-70.2
20486,998.4,46.8,-62.4
20508,1029.6,31.2,0
20527,975,39,-85.8
20549,990.6,54.6,0
20568,1021.8,46.8,0
20590,998.4,39,-62.4
20610,1021.8,31.2,0
20631,998.4,46.8,0
20651,998.4,15.6,-85.8
20673,1021.8,31.2,0
