Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
16915,15.60,1326.00,23.40
16935,140.40,912.60,31.20
16957,23.40,1154.40,31.20
16976,-2379.00,2808.00,2301.00
16998,-109.20,2332.20,413.40
17018,-273.00,-132.60,-912.60
17040,-1630.20,1747.20,2035.80
17060,639.60,702.00,1474.20
17082,1872.00,3494.40,-647.40
17109,1957.80,3806.40,4056.00
17129,2176.20,1450.80,912.60
17150,1380.60,499.20,-943.80
17171,780.00,3463.20,-3814.20
17192,1762.80,226.20,4492.80
17213,1427.40,468.00,1037.40
17234,-39.00,998.40,241.80
17255,0.00,1029.60,-70.20
17275,0.00,1131.00,218.40
17296,31.20,1084.20,-163.80
17317,62.40,928.20,0.00
17337,-109.20,873.60,-288.60
17358,39.00,1341.60,-577.20
17379,39.00,1029.60,-62.40
17400,7.80,998.40,54.60
17420,0.00,1014.00,23.40
17441,0.00,1053.00,54.60
17497,0.00,1037.40,46.80
17524,15.60,1006.20,39.00
17544,23.40,1029.60,78.00
17566,-140.40,982.80,0.00
17586,-132.60,1045.20,0.00
17607,-39.00,1021.80,23.40
17627,23.40,1029.60,23.40
17649,54.60,1006.20,7.80
17669,78.00,1021.80,70.20
17690,31.20,1021.80,62.40
17710,62.40,998.40,15.60
17732,78.00,998.40,85.80
17752,23.40,1029.60,62.40
17774,0.00,1014.00,23.40
17793,7.80,1014.00,31.20
17815,179.40,1201.20,85.80
17835,0.00,850.20,62.40
17856,-39.00,936.00,171.60
17876,0.00,1060.80,132.60
17898,-70.20,1092.00,0.00
17925,7.80,1045.20,62.40
17945,46.80,1107.60,0.00
17966,0.00,943.80,0.00
17986,31.20,943.80,7.80
18007,15.60,1006.20,15.60
18028,0.00,1045.20,0.00
18048,0.00,998.40,0.00
18069,0.00,1060.80,46.80
18089,0.00,1053.00,62.40
18110,0.00,998.40,23.40
18130,0.00,1021.80,62.40
18151,0.00,1014.00,78.00
18172,0.00,1006.20,23.40
18192,0.00,1021.80,7.80
18213,0.00,1021.80,85.80
18233,0.00,1021.80,0.00
18254,7.80,1021.80,46.80
18274,0.00,1084.20,0.00
18295,15.60,1029.60,7.80
18315,31.20,998.40,7.80
18378,0.00,998.40,7.80
18397,0.00,1006.20,7.80
18419,31.20,998.40,46.80
18439,7.80,1014.00,54.60
18460,39.00,1068.60,7.80
18480,23.40,1076.40,15.60
18502,0.00,959.40,0.00
18521,46.80,1021.80,70.20
18543,0.00,1006.20,117.00
18562,46.80,998.40,7.80
18584,46.80,1029.60,7.80
18604,15.60,1021.80,0.00
18625,0.00,998.40,23.40
18645,0.00,1021.80,23.40
18666,-15.60,1014.00,62.40
18686,-62.40,1076.40,39.00
18708,-62.40,998.40,54.60
18727,-46.80,1014.00,31.20
18749,0.00,998.40,39.00
18768,0.00,1045.20,0.00
18795,15.60,1021.80,109.20
18816,0.00,1021.80,15.60
18836,46.80,998.40,0.00
18857,78.00,998.40,0.00
18878,46.80,912.60,163.80
18907,78.00,1006.20,0.00
18927,85.80,1029.60,0.00
18948,54.60,1045.20,7.80
